original_feature,importance,importance_pct
diff_last_10_avg_finish_loss,0.0014828393,0.0014828395
blue_last_3_avg_kd_against,0.0014798673,0.0014798674
diff_career_win_rate,0.00147833,0.0014783301
blue_last_3_avg_sig_landed_against,0.0014758145,0.0014758146
weight_class_Flyweight,0.0014756072,0.0014756073
red_last_5_avg_fight_duration_seconds,0.0014693298,0.0014693299
red_last_5_avg_finish_loss,0.0014542878,0.0014542879
blue_career_avg_rounds_fought,0.001449702,0.0014497021
stance_matchup_Orthodox_vs_Switch,0.0014451928,0.001445193
red_career_avg_total_str_landed_against,0.0014434161,0.0014434162
diff_last_3_avg_ctrl_seconds_against,0.0014377452,0.0014377453
stance_matchup_Orthodox_vs_Unknown,0.0014097315,0.0014097316
red_last_5_avg_ctrl_seconds_for,0.0014080218,0.0014080219
stance_matchup_Orthodox_vs_Southpaw,0.0013989802,0.0013989803
blue_career_avg_rev_against,0.0013900186,0.0013900187
red_last_5_avg_rounds_fought,0.0013893645,0.0013893646
diff_last_5_avg_td_success_against,0.001384247,0.0013842471
blue_last_5_avg_total_str_attempted_against,0.0013664095,0.0013664096
diff_career_avg_finish_loss,0.0013565777,0.0013565778
blue_career_avg_decision_loss,0.0013235646,0.0013235647
red_last_5_avg_submission_loss,0.0013196885,0.0013196886
red_career_avg_win,0.001314276,0.0013142761
weight_class_Bout,0.0013038368,0.0013038369
diff_last_10_avg_rounds_fought,0.0012982781,0.0012982782
blue_stance_Unknown,0.0012939129,0.001293913
diff_career_td_acc_against,0.0012926587,0.0012926589
blue_last_10_avg_decision_win,0.0012757265,0.0012757266
blue_stance_Orthodox,0.0012576603,0.0012576604
red_last_10_avg_kd_against,0.0012307705,0.0012307706
red_last_10_avg_ko_tko_loss,0.0012134358,0.0012134359
red_last_10_avg_sig_landed_for,0.001209208,0.0012092082
diff_last_5_avg_rev_against,0.0011798103,0.0011798104
red_last_10_avg_kd_for,0.0011675247,0.0011675248
blue_last_10_avg_win,0.0011657111,0.0011657112
diff_last_5_avg_rev_for,0.0011406306,0.0011406307
blue_last_3_avg_decision_win,0.0011387649,0.001138765
diff_last_3_avg_fight_duration_seconds,0.001118551,0.0011185511
diff_career_avg_rounds_fought,0.001114561,0.0011145611
red_career_avg_submission_loss,0.0010976706,0.0010976708
red_last_5_avg_rev_against,0.0010612436,0.0010612437
blue_last_5_avg_rev_for,0.001035701,0.0010357011
red_last_5_sig_acc_for,0.0010253334,0.0010253335
red_last_10_avg_fight_duration_seconds,0.00090373383,0.0009037339
red_last_5_avg_kd_for,0.0007954925,0.00079549255
blue_career_avg_decision_win,0.0006885562,0.00068855623
blue_career_avg_finish_loss,0.0005431051,0.0005431052
diff_height_inches,0.00047236783,0.00047236786
red_last_3_fight_count,8.094192e-05,8.094193e-05
red_last_5_avg_ko_tko_win,6.702442e-05,6.7024426e-05
weight_class_Ultimate Fighter Australia vs. UK Welterweight Tournament,0.0,0.0
weight_class_Ultimate Fighter Brazil 1 Featherweight Tournament,0.0,0.0
weight_class_5 Tournament,0.0,0.0
weight_class_3 Tournament,0.0,0.0
weight_class_Women's Atomweight,0.0,0.0
weight_class_Welterweight,0.0,0.0
weight_class_6 Tournament,0.0,0.0
weight_class_WEC Welterweight,0.0,0.0
weight_class_WEC Middleweight,0.0,0.0
weight_class_WEC Lightweight,0.0,0.0
weight_class_WEC Light Heavyweight,0.0,0.0
weight_class_WEC Heavyweight,0.0,0.0
weight_class_WEC Featherweight,0.0,0.0
weight_class_WEC Bantamweight,0.0,0.0
weight_class_7 Tournament,0.0,0.0
weight_class_Ultimate Ultimate '96 Tournament,0.0,0.0
weight_class_4 Tournament,0.0,0.0
weight_class_DREAM 2011 Bantamweight Tournament,0.0,0.0
weight_class_DREAM 2010 Light Heavyweight Tournament,0.0,0.0
weight_class_DREAM 2009 Welterweight Tournament,0.0,0.0
weight_class_DREAM 2011 Japan Bantamweight Tournament,0.0,0.0
blue_career_avg_win,0.0,0.0
blue_career_avg_total_str_attempted_for,0.0,0.0
blue_career_avg_submission_win,0.0,0.0
blue_career_avg_submission_loss,0.0,0.0
weight_class_DREAM 2009 Super Hulk Tournament,0.0,0.0
weight_class_DREAM 2009 Featherweight Tournament,0.0,0.0
weight_class_DREAM 2008 Middleweight Tournament,0.0,0.0
weight_class_DREAM Featherweight,0.0,0.0
weight_class_Ultimate Ultimate '95 Tournament,0.0,0.0
weight_class_DREAM 2008 Lightweight Tournament,0.0,0.0
weight_class_1 Tournament,0.0,0.0
weight_class_10 Tournament,0.0,0.0
weight_class_Catch Weight,0.0,0.0
weight_class_13 Heavyweight Tournament,0.0,0.0
weight_class_13 Lightweight Tournament,0.0,0.0
weight_class_14 Heavyweight Tournament,0.0,0.0
weight_class_14 Middleweight Tournament,0.0,0.0
weight_class_15 Heavyweight Tournament,0.0,0.0
weight_class_17 Middleweight Tournament,0.0,0.0
weight_class_Ultimate Fighter Brazil 2 Welterweight Tournament,0.0,0.0
weight_class_2 Tournament,0.0,0.0
weight_class_Ultimate Fighter Brazil 1 Middleweight Tournament,0.0,0.0
weight_class_DREAM Heavyweight,0.0,0.0
weight_class_Ultimate Japan Heavyweight Tournament,0.0,0.0
weight_class_Ultimate Fighter 12 Lightweight Tournament,0.0,0.0
weight_class_Ultimate Fighter 11 Middleweight Tournament,0.0,0.0
weight_class_Ultimate Fighter 10 Heavyweight Tournament,0.0,0.0
weight_class_Ultimate Fighter 1 Middleweight Tournament,0.0,0.0
weight_class_Ultimate Fighter 1 Light Heavyweight Tournament,0.0,0.0
weight_class_TUF Nations Canada vs. Australia Welterweight Tournament,0.0,0.0
weight_class_TUF Nations Canada vs. Australia Middleweight Tournament,0.0,0.0
weight_class_Superfight,0.0,0.0
weight_class_Super Heavyweight,0.0,0.0
weight_class_Strikeforce Women's Bantamweight Tournament,0.0,0.0
weight_class_Strikeforce Women's 145 lbs.,0.0,0.0
weight_class_Strikeforce Women's 135 lbs.,0.0,0.0
weight_class_Strikeforce Welterweight,0.0,0.0
weight_class_Strikeforce Middleweight U.S.,0.0,0.0
weight_class_Women's Bantamweight,0.0,0.0
